id,titulo,anio,editorial_institucion,tipo_doc,pais,departamento,nombre_revista_compilacion,numero_revista,autor,ciudad,temas,url,obs,img,file_img
11,Potosí: La visita fiscal de 1819,1987,Sociedad Boliviana de Historia,articulo de investigación,Bolivia,La Paz,Historia y Cultura,11,Santos R.,Potosí,"economía,organización social",https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/11.png,11.png
12,"Mujer indígena, trabajo doméstico y cambio social en el virreinato peruano del siglo XVII: La ciudad de La Paz y el Sur Andino en 1684",1987,Sociedad Boliviana de Historia,articulo de investigación,Bolivia,La Paz,Historia y Cultura,12,Clave L.,La Paz,género,https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/12.png,12.png
13,Urbanización y desarrollo en Bolivia,1987,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,10,Pereira Morato R.,Urbanización boliviana,desigualdad,https://repositorio.umsa.bo/handle/123456789/16221,,https://labtecnosocial.org/explora-bib/urbana/13.png,13.png
14,El desarrollo heterogéneo boliviano y los asentamientos poblacionales,1987,IDIS - UMSA,informe,Bolivia,La Paz,Temas Sociales,11,Pereira Morato R.,Urbanización boliviana,asentamientos ilegales,https://repositorio.umsa.bo/handle/123456789/16222,,https://labtecnosocial.org/explora-bib/urbana/14.png,14.png
15,La ley de Participación Popular y el Hábitat popular en Bolivia,1987,"PROMESHA,IIACH - UMSS",libro,Bolivia,Cochabamba,,,Vargas H.,Urbanización boliviana,vivienda,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo-1?lightbox=dataItem-kcie4e43,,https://labtecnosocial.org/explora-bib/urbana/15.png,15.png
16,Mineros de la Montaña Roja,1989,Alianza Editorial,libro,España,,,,Bakewell P.,Potosí,"economía,organización social",https://jichha.blogspot.com/2021/09/mineros-de-la-montana-roja-el-trabajo.html,,https://labtecnosocial.org/explora-bib/urbana/16.png,16.png
17,La ciudad prometida. Pobladores y Organizaciones Sociales en El Alto.,1989,ILDIS,libro,Bolivia,La Paz,,,"Sandoval G.,Sostres F.",El Alto,movimientos sociales,https://jichha.blogspot.com/2021/06/la-ciudad-prometida-pobladores-y.html,,https://labtecnosocial.org/explora-bib/urbana/17.png,17.png
18,"La falsificación de monedas en el Potosí republicano, 1843-1879",1990,Sociedad Boliviana de Historia,articulo de investigación,Bolivia,La Paz,Historia y Cultura,17,Valda E.,Potosí,economía,https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/18.png,18.png
19,Conformación urbana y étnica en las ciudades de La Paz y Potosí durante la colonia,1990,Sociedad Boliviana de Historia,articulo de investigación,Bolivia,La Paz,Historia y Cultura,18,Escobart de Querejazu L.,"La Paz,Potosí",organización socioespacial,https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/19.png,19.png
20,"Historia, espacio y sociedad: Cochabamba, 1550-1950: formación crisis y desarrollo de su proceso urbano",1990,"GAM - Cochabamba,IIACH - UMSS",libro,Bolivia,,,,Solares H.,Cochabamba,organización socioespacial,https://www.worldcat.org/title/historia-espacio-y-sociedad-cochabamba-1550-1950-formacion-crisis-y-desarrollo-de-su-proceso-urbano/oclc/23768632,,https://labtecnosocial.org/explora-bib/urbana/20.jpeg,20.jpeg
21,Compadres al micrófono. La resurrección metropolitana del Ayllu,1991,Hisbol,libro,Bolivia,La Paz,,,Archondo R.,La Paz,movimientos sociales,https://drive.google.com/file/d/1SZpbcn_VFazlYk9wpcDPGj03VuSX8wMB/view,,https://labtecnosocial.org/explora-bib/urbana/21.jpeg,21.jpeg
22,Evolución histórica del estudio de la arquitectura en Bolivia,1991,Sociedad Boliviana de Historia,ensayo,Bolivia,La Paz,Historia y Cultura,19,Beltran E. ,Urbanización boliviana,arquitectura,https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/22.jpeg,22.jpeg
23,Pobladores de Barrios Populares,1991,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,15,Paz Ballivian D.,"La Paz,Cochabamba,Santa Cruz","barrios populares,movimientos sociales",https://repositorio.umsa.bo/bitstream/handle/123456789/16225/TS015-TemasSociales15p.pdf,,https://labtecnosocial.org/explora-bib/urbana/23.png,23.png
24,"Clase social, género y etnicidad: mujeres indias urbanas en la Bolivia colonial (1640-1735)",1992,Sociedad Boliviana de Historia,articulo de investigación,Bolivia,La Paz,Historia y Cultura,21-22,Zulawski A.,La Paz,género,https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/24.jpeg,24.jpeg
25,Pobladores de barrios populares,1993,CIDES - UMSA,ensayo,Bolivia, La Paz,Umbrales,1,Paz Ballivian D.,"La Paz,Cochabamba,Santa Cruz",barrios populares,http://www.cides.edu.bo/index.php/component/content/article/8-publicaciones/revista-umbrales/57-umbrales-n-1?Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/25.jpeg,25.jpeg
26,La identidad en la juventud aymara - urbana alteña,1993,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,17,"Balboa A.,Altamirano J.",El Alto,"juventud,identidad,etnicidad",https://repositorio.umsa.bo/bitstream/handle/123456789/16227/TS017-TemasSociales17p.pdf,,https://labtecnosocial.org/explora-bib/urbana/26.jpeg,26.jpeg
27,"Centros de Mercadeo y Jerarquía Urbana en el Valle Alto y Distrito Sur Departamento de Cochabamba, Bolivia",1994,Pan American Institute of Geography and History,articulo de investigación,Estados Unidos,,Revista Geográfica,120,"Kent R.,Benedetti G.,Guardia E.,Valdivia E.",Cochabamba,"mercado,economía",https://www.jstor.org/stable/40992699,,https://labtecnosocial.org/explora-bib/urbana/27.jpeg,27.jpeg
28,Españoles patricios y españoles europeos: Conflictos intra-élites e identidades en la ciudad de La Paz en vísperas de la Independencia (1770-1809),1995,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Revista Estudios Bolivianos,1,Barragan R.,La Paz,movimientos sociales,https://www.ieb.edu.bo/images/pdf-revistas/Estudios_Bolivianos_1.pdf,,https://labtecnosocial.org/explora-bib/urbana/28.jpeg,28.jpeg
29,La región de Cochabamba desde una perspectiva ilustrada,1997,CESU - UMSS,articulo de investigación,Bolivia,Cochabamba,Decursos,4,Gordillo J.,Cochabamba,élites,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/29.jpeg,29.jpeg
30,"Cuatro momentos estelares en el tiempo vital de Cochabamba (1538, 1570, 1821, 1852)",1997,CESU - UMSS,ensayo,Bolivia,Cochabamba,Decursos,4,Mendoza G.,Cochabamba,"historia,organización socioespacial",https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/30.jpeg,30.jpeg
31,¿Ejemonías? Democracia representativa y liderazgos locales,1997,PIEB,libro,Bolivia,La Paz,,,"Mayorga F.,Andia L.,Zegada M.,Saravia J.","Cochabamba,La Paz,Santa Cruz",élites,http://www.pieb.com.bo/2016/BPIEB/BPIEB_1_2_Ejemonias.pdf,,https://labtecnosocial.org/explora-bib/urbana/31.jpeg,31.jpeg
32,Indicadores psicosociales de la calidad de vida en la ciudad de El Alto,1997,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Revista Estudios Bolivianos,5,Maric M.,El Alto,"calidad de vida,desigualdad",https://www.ieb.edu.bo/images/pdf-revistas/Estudios_Bolivianos_5.pdf,,https://labtecnosocial.org/explora-bib/urbana/32.png,32.png
33,Estudio de las actitudes frente a los desafíos de la urbe y la modernidad en la comunidad universitaria de la Universidad Mayor de San Andrés,1997,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Revista Estudios Bolivianos,5,de la Quintana M.,La Paz,desigualdad,https://www.ieb.edu.bo/images/pdf-revistas/Estudios_Bolivianos_5.pdf,,https://labtecnosocial.org/explora-bib/urbana/33.png,33.png
34,Agua y contaminación en la ciudad de La Paz,1997,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,19,Paz Ballivian D.,La Paz,"agua,medio ambiente",https://repositorio.umsa.bo/handle/123456789/16229,,https://labtecnosocial.org/explora-bib/urbana/34.png,34.png
35,"¿Ejemonías? Democracia representativa y liderazgos locales. Percy Fernández, Manfred Reyes Villa, Mónica Medina",1998,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,5,Archondo R.,"Cochabamba,La Paz,Santa Cruz",élites,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/35.jpeg,35.jpeg
36,La Ciudad Imaginada. Un análisis sociológico de la pintura contemporánea en Bolivia,1998,PIEB,libro,Bolivia,La Paz,,,Szmukler A.,Urbanización boliviana,arte y consumo cultural,https://es.scribd.com/document/339529674/Alicia-Szmukler-La-Ciudad-Imaginaria-Un-Analisis-Sociologico-de-La-Pintura-en-Bolivia,,https://labtecnosocial.org/explora-bib/urbana/36.jpeg,36.jpeg
37,La Ciudad Imaginaria,1998,PIEB,reseña,Bolivia,La Paz,T'inkazos,2,T'inkazos,Urbanización boliviana,arte y consumo cultural,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_2.pdf,,https://labtecnosocial.org/explora-bib/urbana/37.jpeg,37.jpeg
38,La percepción sociopolítica de la participación política de la mujer en los sectores urbano-populares,1998,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,20,Yugar M.,"La Paz,El Alto","movimientos sociales,género",https://repositorio.umsa.bo/handle/123456789/16230,,https://labtecnosocial.org/explora-bib/urbana/38.jpg,38.jpg
39,Arando en historia. La experiencia política campesina en Cochabamba (Gordillo J.),1999,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,7,Rocha J. A.,Cochabamba,"movimientos sociales,historia",https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/39.jpeg,39.jpeg
40,"Conflictos ambientales (dos casos: agua y territorio) (Crespo C., Orellana R., CERES)",1999,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,8,Ricaldi T.,"Vinto,SipeSipe","agua,medio ambiente",https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/40.jpeg,40.jpeg
41,"Industrias culturales en la ciudad de La Paz. Estructura y tendencias de los circuitos editorial, fonográfico y audiovisual, y su alcance para la producción nacional",1999,PIEB,libro,Bolivia,La Paz,,,"Torrico ER.,Gomez Antonio.,Herrera K.",La Paz,arte y consumo cultural,https://repositorio.umsa.bo/handle/123456789/24627,,https://labtecnosocial.org/explora-bib/urbana/41.png,41.png
42,"Atlas estadístico de municipios. Bolivia, un Mundo de potencialidades",1999,PIEB,reseña,Bolivia,La Paz,T'inkazos,4,T'inkazos,Urbanización boliviana,demografía,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_4.pdf,,https://labtecnosocial.org/explora-bib/urbana/42.jpeg,42.jpeg
43,Ser joven en El Alto. Rupturas y continuidades en la tradición cultural,2000,PIEB,libro,Bolivia,La Paz,,,"Guaygua G.,Riveros A.,Quisbert M.",El Alto,"juventud,identidad,etnicidad",https://elaltobo.com/ser-joven-en-el-alto-de-german-guaygua-y-otros-pdf/,,https://labtecnosocial.org/explora-bib/urbana/43.png,43.png
44,Nuevas conductas sociales con raíces aymaras. Ecografía de la juventud alteña,2000,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,5,"Guaygua G.,Riveros A.,Quisbert M.",El Alto,"juventud,identidad,etnicidad",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_5.pdf,,https://labtecnosocial.org/explora-bib/urbana/44.jpeg,44.jpeg
45,Pintando paredes. Jóvenes paceños y graffiti pandillero,2000,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,5,Auza V.,La Paz,"juventud,identidad,etnicidad",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_5.pdf,,https://labtecnosocial.org/explora-bib/urbana/45.jpeg,45.jpeg
46,"Existencias fronterizas. Ser ""chango"" en El Alto: entre el rock y los sikuris",2000,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,5,Archondo R.,El Alto,"juventud,identidad,etnicidad",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_5.pdf,,https://labtecnosocial.org/explora-bib/urbana/46.jpeg,46.jpeg
47,"Urbanización, estructura productiva y empleo en Bolivia",2000,PIEB,ensayo,Bolivia,La Paz,T'inkazos,6,Ledo C.,Urbanización boliviana,empleo,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_6.pdf,,https://labtecnosocial.org/explora-bib/urbana/47.jpeg,47.jpeg
48,Identidad cruceña: entre collas tropicalizados e himnos al imperio,2000,PIEB,ensayo,Bolivia,La Paz,T'inkazos,7,Archondo R.,Santa Cruz,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_7.pdf,,https://labtecnosocial.org/explora-bib/urbana/48.jpeg,48.jpeg
49,La mujer cochabambina en la historia,2000,Sociedad Boliviana de Historia,ensayo,Bolivia,La Paz,Historia y Cultura,26,Arze J.,Cochabamba,"género,historia",https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/49.jpeg,49.jpeg
50,Ciudadanía económica: la urgencia del largo plazo,2001,PIEB,ensayo,Bolivia,La Paz,T'inkazos,10,"Chavez G.,Gray G.,Querejazu V.,Campero J.,Perez de Rada E.,Arauco V.",Urbanización boliviana,empleo,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_10.pdf,,https://labtecnosocial.org/explora-bib/urbana/50.jpeg,50.jpeg
51,La construcción de la identidad local urbana: el protagonismo de la juventud alteña,2001,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,9,Guaygua G.,El Alto,"juventud,identidad,etnicidad",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_9.pdf,,https://labtecnosocial.org/explora-bib/urbana/51.jpeg,51.jpeg
52,Investigar movimientos sociales urbanos: viejos y nuevos enfoques y temáticas,2001,PIEB,ensayo,Bolivia,La Paz,T'inkazos,8,Salman T.,Urbanización boliviana,movimientos sociales,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_8.pdf,,https://labtecnosocial.org/explora-bib/urbana/52.jpeg,52.jpeg
53,Procesos productivos e identidades sociales: transformaciones en Cochabamba,2001,PIEB,ensayo,Bolivia,La Paz,T'inkazos,8,"Kruse T.,Lagos M.",Cochabamba,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_8.pdf,,https://labtecnosocial.org/explora-bib/urbana/53.jpeg,53.jpeg
54,¿Podemos reconciliarnos con La Paz?,2001,PIEB,ensayo,Bolivia,La Paz,T'inkazos,8,Scholz C.,La Paz,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_8.pdf,,https://labtecnosocial.org/explora-bib/urbana/54.jpeg,54.jpeg
55,Más y menos patrimonio natural en Cochabamba,2001,PIEB,ensayo,Bolivia,La Paz,T'inkazos,8,Vargas H.,Cochabamba,medio ambiente,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_8.pdf,,https://labtecnosocial.org/explora-bib/urbana/55.jpeg,55.jpeg
56,"""Modo de ser"", un patrimonio en Santa Cruz",2001,PIEB,ensayo,Bolivia,La Paz,T'inkazos,8,Prado F.,Santa Cruz,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_8.pdf,,https://labtecnosocial.org/explora-bib/urbana/56.jpeg,56.jpeg
57,"Apuntes para una historia del mestizaje de Santa Cruz de la Sierra, Bolivia",2001,Iberoamericana Editorial,ensayo,España,,Iberoamericana,18,Pruden H.,Santa Cruz,identidad,https://www.jstor.org/stable/26893093,,https://labtecnosocial.org/explora-bib/urbana/57.jpeg,57.jpeg
58,Políticas públicas con enfoque de género: Su incorporación y tratamiento en la agenda municipal de la Provincia Cercado,2002,CESU - UMSS,ensayo,Bolivia,Cochabamba,Decursos,9,Sanchez Echevarria M.,Cochabamba,"género,desigualdad",https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/58.jpeg,58.jpeg
59,"El mundo desde Potosí. Vida y reflexiones de Bartolomé de Arzans de Orsán y Vela, Relatos de la Villa Imperial de Potosí.",2002,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,9,Carrido J.,Potosí,organización socioespacial,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/59.jpeg,59.jpeg
60,Calidad de vida en cuatro zonas del municipio de Potosí,2002,PIEB,libro,Bolivia,La Paz,,,Tapia Montecinos L.,Potosí,"calidad de vida,desigualdad",https://www.academia.edu/44236288/Calidad_de_vida_en_cuatro_zonas_del_municipio_de_Potos%C3%AD,,https://labtecnosocial.org/explora-bib/urbana/60.png,60.png
61,Tarija en los imaginarios urbanos: un recorrido por los resultados de la investigación,2002,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,12,"Lea Plaza S.,Paz A.,Vargas X.,Lea Plaza A.",Tarija,imaginarios urbanos,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_12.pdf,,https://labtecnosocial.org/explora-bib/urbana/61.jpeg,61.jpeg
62,"Trabajo urbano, Capital y Colonialismo en Bolivia",2002,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,23,Garcia Linera A.,Urbanización boliviana,empleo,https://repositorio.umsa.bo/handle/123456789/16233,,https://labtecnosocial.org/explora-bib/urbana/62.jpg,62.jpg
63,Migración rural-urbana en Bolivia: Ventajas y desventajas,2002,IISEC - UCB,informe,Bolivia,,,,Andersen E.,Urbanización boliviana,migración,https://www.econstor.eu/handle/10419/72828,,https://labtecnosocial.org/explora-bib/urbana/63.jpeg,63.jpeg
64,Los jóvenes en democracia. la cultura política de la juventud cochabambina,2003,PIEB,libro,Bolivia,La Paz,,,Torrez Y.,Cochabamba,"movimientos sociales,juventud,identidad",http://www.pieb.com.bo/2016/BPIEB/BPIEB_14_47_Democracia.pdf,,https://labtecnosocial.org/explora-bib/urbana/64.jpeg,64.jpeg
65,Mercado Kantuta ¿un mercado campesino?,2003,PIEB,libro,Bolivia,La Paz,,,"Leon Alvestegui G.,Valdez H.,Vasquez Mamani V.",La Paz,"mercado,economía",http://www.pieb.com.bo/2016/BPIEB/BPIEB_14_48_Kantuta.pdf,,https://labtecnosocial.org/explora-bib/urbana/65.jpeg,65.jpeg
66,Tarija en los imaginarios urbanos,2003,PIEB,libro,Bolivia,,,,"Plaza Dorado S.,Vargas Guardia X.,Plaza Torri A.",Tarija,imaginarios urbanos,http://www.pieb.com.bo/2016/BPIEB/BPIEB_16_55_Tarija.pdf,,https://labtecnosocial.org/explora-bib/urbana/66.jpeg,66.jpeg
67,La permanente construcción de Lo Cruceño. Un estudio sobre la identidad en Santa Cruz de la Sierra,2003,"PIEB,CEDURE",libro,Bolivia,La Paz,,,"Peña Hasbun P.,Barahona R.,Rivero Coimbra L.,Gaya D.",Santa Cruz,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEB_17_59_Permanente.pdf,,https://labtecnosocial.org/explora-bib/urbana/67.jpeg,67.jpeg
68,Los indígenas olvidados. Los guaraní-chiriguanos urbanos y peri-urbanos en Santa Cruz de la Sierra,2003,"PIEB,CEDURE",libro,Bolivia,La Paz,,,"Ros Izquierdo J.,Combes I.",Santa Cruz,"indígenas urbanos,desigualdad",http://www.pieb.com.bo/2016/BPIEB/BPIEB_17_60_Indigenas.pdf,,https://labtecnosocial.org/explora-bib/urbana/68.jpeg,68.jpeg
69,Propuesta Básica para la Gestión de los Residuos Sólidos de la Zona Metropolitana de Cochabamba,2003,UCB,ensayo,Bolivia,,Revista Acta Nova,2,Lujan M.,Cochabamba,"residuos,medio ambiente",http://www.scielo.org.bo/scielo.php?pid=S1683-07892003000100004&script=sci_arttext,,https://labtecnosocial.org/explora-bib/urbana/69.jpeg,69.jpeg
70,Variación de la riqueza y diversidad de la ornitofauna en áreas verdes urbanas de La Paz y El Alto (Bolivia),2003,Instituto de Ecología - UMSA,articulo de investigación,Bolivia,,Ecología en Bolivia,1,"Garitano-Zavala A.,Gismondi P.","La Paz,El Alto","fauna urbana,medio ambiente",http://www.scielo.org.bo/scielo.php?pid=S1605-25282003000100006&script=sci_arttext,,https://labtecnosocial.org/explora-bib/urbana/70.jpeg,70.jpeg
71,Tendencias de la Investigación Sociológica Urbana en Bolivia: 1952-2002,2003,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,24,Sandoval G.,Urbanización boliviana,investigación urbana,http://www.scielo.org.bo/scielo.php?pid=S0040-29152003000100009&script=sci_arttext,,https://labtecnosocial.org/explora-bib/urbana/71.jpeg,71.jpeg
72,Urbanización y pobreza en Bolivia. Una lectura del reciente Censo Nacional del 2001,2003,IDIS - UMSA,ensayo,Bolivia,,Temas Sociales,24,Pereira Morato R.,Urbanización boliviana,investigación urbana,http://www.scielo.org.bo/scielo.php?pid=S0040-29152003000100010&script=sci_arttext,,https://labtecnosocial.org/explora-bib/urbana/72.jpeg,72.jpeg
73,Cultura política de los periodistas en Sucre,2004,"PIEB,USFX,Archivo y biblioteca nacionales de Bolivia,Universidad Andina Simón Bolivar",libro,Bolivia,La Paz,,,"Floreas Castro F.,Vasquez J.,Iñiguez E.,Soza Aleman V.",Sucre,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEB_19_66_Cultura.pdf,,https://labtecnosocial.org/explora-bib/urbana/73.jpeg,73.jpeg
74,De la comunidad al barrio. Violencia de pareja en mujeres migrantes en Sucre,2004,"PIEB,USFX,Archivo y biblioteca nacionales de Bolivia,Universidad Andina Simón Bolivar",libro,Bolivia,La Paz,,,"Quintela M.,Arandia M.,Campos P.",Sucre,"género,violencia,migración",http://www.pieb.com.bo/2016/BPIEB/BPIEB_19_67_Comunidad.pdf,,https://labtecnosocial.org/explora-bib/urbana/74.jpeg,74.jpeg
75,Santa Cruz: la difícil búsqueda del desarrollo equitativo,2004,PIEB,ensayo,Bolivia,La Paz,T'inkazos,16,Rojas G.,Santa Cruz,desigualdad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_16.pdf,,https://labtecnosocial.org/explora-bib/urbana/75.jpeg,75.jpeg
76,"Producción musical: entre la intervención de la autenticidad, la construcción de identidades urbanas y la participación política",2004,PIEB,ensayo,Bolivia,La Paz,T'inkazos,16,Rozo B.,Urbanización boliviana,arte y consumo cultural,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_16.pdf,,https://labtecnosocial.org/explora-bib/urbana/76.jpeg,76.jpeg
77,"Dos ciudades, cuatro conglomeradas: entre la Nación y la pura cepa",2004,PIEB,ensayo,Bolivia,La Paz,T'inkazos,16,Exeni J.,Tarija,arte y consumo cultural,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_16.pdf,,https://labtecnosocial.org/explora-bib/urbana/77.jpeg,77.jpeg
78,El comportamiento ch'ojcho: el caso de la juventud de la ciudad de El alto,2004,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,17,Balboa A.,El Alto,"juventud,identidad,etnicidad",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_17.pdf,,https://labtecnosocial.org/explora-bib/urbana/78.jpeg,78.jpeg
